index0,index1,index2,I.val
21,23,20,1.078348577232179e-05
21,23,21,1.077369540734954e-05
21,23,22,1.045566631073782e-05
21,23,23,9.963931636603232e-06
21,23,24,9.551870172561108e-06
22,24,1,0.00427284517063281
22,24,2,0.002826865078374828
22,24,3,0.005210101440855655
22,24,4,0.005268557508186849
22,24,5,0.0052550027849832
22,24,6,0.005100165186766941
22,24,7,0.004796388633629471
22,24,8,0.004415524336585764
22,24,9,0.004085268412265041
22,24,10,0.004012423538413264
22,24,11,0.003790626218782085
22,24,12,0.003832431244823763
22,24,13,0.003705612752603836
22,24,14,0.003622490804522778
22,24,15,0.003641581037992179
22,24,16,0.003630955577582223
22,24,17,0.003773376475902979
22,24,18,0.003859095627343484
22,24,19,0.003974687704332485
22,24,20,0.004180827609924252
22,24,21,0.004355083057655171
22,24,22,0.004356701565379602
22,24,23,0.004571956480012134
22,24,24,0.0047806207026738
22,25,1,1.204511740034151e-05
22,25,2,1.203263330189822e-05
22,25,3,1.152383033102962e-05
22,25,4,1.100695432021956e-05
22,25,5,1.075313088785841e-05
22,25,6,1.071141937574226e-05
22,25,7,1.075216359667413e-05
22,25,8,1.100544192165696e-05
22,25,9,1.126087485247919e-05
22,25,10,1.148111677089243e-05
22,25,11,1.178196222360322e-05
22,25,12,1.204715795664293e-05
22,25,13,1.258706073977885e-05
22,25,14,1.286276478921181e-05
22,25,15,1.313890578897105e-05
22,25,16,1.370397831056338e-05
22,25,17,1.398973736242906e-05
22,25,18,1.457286223187472e-05
22,25,19,1.486685021812166e-05
22,25,20,1.486995136349847e-05
22,25,21,1.45749589225257e-05
22,25,22,1.42824604235585e-05
22,25,23,1.370746867634248e-05
22,25,24,1.314391534880861e-05
24,26,1,0.0001061242564824828
24,26,2,0.0001060198510013474
24,26,3,0.0001006160627031114
24,26,4,9.838742896669764e-05
24,26,5,0.0001008523119746548
24,26,6,0.0001123956991945596
24,26,7,0.0001372679530826611
24,26,8,0.0001759971357481343
24,26,9,0.0002195370977545305
24,26,10,0.0002590576811463219
24,26,11,0.0002869308062276531
24,26,12,0.000287551967873364
24,26,13,0.0003041181107856282
24,26,14,0.0003159427951873867
24,26,15,0.0003172971585323267
24,26,16,0.000311002689402445
24,26,17,0.0002919849746113041
24,26,18,0.0002663285773325449
24,26,19,0.0002511132652350177
24,26,20,0.0002212674463054209
24,26,21,0.0001979967841734486
24,26,22,0.0001762650315074924
24,26,23,0.0001548488248131636
24,26,24,0.0001348193605350172
24,27,1,0.0006354269816901384
24,27,2,0.0001716150638865126
24,27,3,0.001006046602694107
24,27,4,0.001019841877055953
24,27,5,0.001018681274720335
24,27,6,0.000996389474880641
24,27,7,0.0009476474200343922
24,27,8,0.0008888378461562209
24,27,9,0.000837917770397303
24,27,10,0.0008166958333322365
24,27,11,0.0007728076926415356
24,27,12,0.0007465841168100122
24,27,13,0.0007225343438132779
24,27,14,0.0007309496657007206
24,27,15,0.0007131224031339538
24,27,16,0.0007195367492118844
24,27,17,0.0007242891663165106
24,27,18,0.0007400354258710308
24,27,19,0.0007354101582672452
24,27,20,0.0007980289717214906
24,27,21,0.0008352378575623953
24,27,22,0.0008334135366540727
24,27,23,0.0008750608291208348
24,27,24,0.0009162439268044264
26,28,1,8.705986725736816e-05
26,28,2,8.69465187721204e-05
26,28,3,8.284844908307421e-05
26,28,4,8.0066947845368e-05
26,28,5,8.07608115124226e-05
26,28,6,8.711855247141774e-05
26,28,7,0.0001013313414360849
26,28,8,0.0001233776599493063
26,28,9,0.0001475945792933259
26,28,10,0.0001669408342119611
26,28,11,0.0001791075487660138
26,28,12,0.0001895648232901913
26,28,13,0.0001981484223437347
26,28,14,0.0002047239393044489
26,28,15,0.0002058169978301383
26,28,16,0.0002047082316375581
26,28,17,0.0001970471287533316
26,28,18,0.0001863611428716428
26,28,19,0.0001739274069544524
26,28,20,0.0001590171563379307
26,28,21,0.0001429168941873819
26,28,22,0.000130292046125232
26,28,23,0.0001174283084748511
26,28,24,0.0001052315789692372
27,29,1,0.0006957101384260495
27,29,2,0.0002012036929625891
27,29,3,0.001082876323101721
27,29,4,0.001099588948845001
27,29,5,0.001107221211880608
27,29,6,0.001099016624469127
27,29,7,0.001068395570176276
27,29,8,0.001027422904108749
27,29,9,0.000993423727869224
27,29,10,0.0009857332836044378
27,29,11,0.0009472246949609604
27,29,12,0.0009225515095604276
27,29,13,0.0008981575375543804
27,29,14,0.0009080479749522885
27,29,15,0.000881304660820478
27,29,16,0.0008793624878552191
27,29,17,0.0008697944349381003
27,29,18,0.0008690101696526964
27,29,19,0.0008471078934450735
27,29,20,0.0009011937693818831
27,29,21,0.0009299974652307608
27,29,22,0.0009182194826862041
27,29,23,0.0009568442006805502
27,29,24,0.0009944944472851643
28,30,1,2.474643307992913e-05
28,30,2,2.471405534491477e-05
28,30,3,2.362523094204762e-05
28,30,4,2.251468197759308e-05
28,30,5,2.251527796654868e-05
28,30,6,2.390457143376049e-05
28,30,7,2.793108864255194e-05
28,30,8,3.392966413334641e-05
28,30,9,4.05111044857106e-05
28,30,10,4.402350757745717e-05
28,30,11,4.505136464173243e-05
28,30,12,4.556746834193828e-05
28,30,13,4.608826977460051e-05
28,30,14,4.714384275623981e-05
28,30,15,4.714087395550172e-05
28,30,16,4.76711015427303e-05
28,30,17,4.766816300693604e-05
28,30,18,4.713461629197434e-05
28,30,19,4.55557004205187e-05
28,30,20,4.24892487327556e-05
28,30,21,3.856363995238293e-05
28,30,22,3.528162071759932e-05
28,30,23,3.214937788643318e-05
28,30,24,2.916195076219543e-05
28,31,1,0.0
28,31,2,0.0
28,31,3,0.0
28,31,4,0.0
28,31,5,9.316477658417714e-07
28,31,6,1.33334796496231e-06
28,31,7,2.252957224912542e-06
28,31,8,3.852137222870959e-06
28,31,9,5.905446706307658e-06
28,31,10,8.32988993940724e-06
28,31,11,1.049541380771059e-05
28,31,12,1.258854909330243e-05
28,31,13,1.399355173253136e-05
28,31,14,1.487323009790729e-05
28,31,15,1.487232478812494e-05
28,31,16,1.370622375487888e-05
28,31,17,1.151665471628301e-05
28,31,18,8.81775600808201e-06
28,31,19,6.676501865668947e-06
28,31,20,4.981894062203437e-06
28,31,21,3.70256106205087e-06
28,31,22,2.867462316173731e-06
28,31,23,2.138920024151025e-06
28,31,24,1.517007688770634e-06
29,32,1,0.0008258265398392657
29,32,2,0.0002707068018541291
29,32,3,0.001245641789564796
29,32,4,0.001259115423146148
29,32,5,0.001267458540171578
29,32,6,0.001268177382902068
29,32,7,0.001256097547122186
29,32,8,0.001234158144338683
29,32,9,0.001209771032336206
29,32,10,0.001205674444970373
29,32,11,0.001161512868335238
29,32,12,0.00113311957424511
