index0,index1,index2,P.val
22,25,21,0.003600036
22,25,22,0.003563672
22,25,23,0.003490944
22,25,24,0.003418216
24,26,1,0.009720277692626997
24,26,2,0.009720277551043068
24,26,3,0.009462083081388895
24,26,4,0.009356620950831136
24,26,5,0.009473008310888337
24,26,6,0.01000030831931464
24,26,7,0.0110512813060268
24,26,8,0.01251320219754733
24,26,9,0.01397513305107872
24,26,10,0.01518035391692811
24,26,11,0.01597629937276788
24,26,12,0.0159939842892821
24,26,13,0.01644839838906842
24,26,14,0.016764660186888
24,26,15,0.01680106734838146
24,26,16,0.01663373347999408
24,26,17,0.0161176262263455
24,26,18,0.01539365474689168
24,26,19,0.01494807264474255
24,26,20,0.01403131613627848
24,26,21,0.01327311625573888
24,26,22,0.01252411191635679
24,26,23,0.01173859941240838
24,26,24,0.01095309523900492
24,27,1,-0.0262142161690764
24,27,2,-0.01330259238850832
24,27,3,-0.03309851676694681
24,27,4,-0.03333809577993699
24,27,5,-0.03331781090411886
24,27,6,-0.03292866439993773
24,27,7,-0.03205621273107007
24,27,8,-0.03096033638504745
24,27,9,-0.02996815561001608
24,27,10,-0.02954081906331262
24,27,11,-0.02863150947325636
24,27,12,-0.02806873936991011
24,27,13,-0.02753873811833407
24,27,14,-0.0277253945007036
24,27,15,-0.02732829219052215
24,27,16,-0.02747219314914949
24,27,17,-0.02757954223858623
24,27,18,-0.02792746578459936
24,27,19,-0.02782674267833136
24,27,20,-0.02916131560729342
24,27,21,-0.02991692153591323
24,27,22,-0.02988134106040366
24,27,23,-0.03069844523211225
24,27,24,-0.0314792382826014
26,28,1,0.008800164315073543
26,28,2,0.008800164270504326
26,28,3,0.008581975344249617
26,28,4,0.008436516147971874
26,28,5,0.008472901748885226
26,28,6,0.008800192332691307
26,28,7,0.009491144259910825
26,28,8,0.01047303421588009
26,28,9,0.01145493767889316
26,28,10,0.01218229124400755
26,28,11,0.01261871668214471
26,28,12,0.01298240869360615
26,28,13,0.01327335400707108
26,28,14,0.0134915650848383
26,28,15,0.01352793230351755
26,28,16,0.01349155077350529
26,28,17,0.01323696102484778
26,28,18,0.01287326390665203
26,28,19,0.01243683777587402
26,28,20,0.01189131921515588
26,28,21,0.01127307659580981
26,28,22,0.0107639386729317
26,28,23,0.0102184437160702
26,28,24,0.009672956718934572
27,29,1,-0.02752638133485946
27,29,2,-0.01461258167485288
27,29,3,-0.03441238544473093
27,29,4,-0.03468840194463256
27,29,5,-0.0348136066641213
27,29,6,-0.03467897196106173
27,29,7,-0.03417002566907406
27,29,8,-0.03347397305524043
27,29,9,-0.03288164670289985
27,29,10,-0.03274518830798465
27,29,11,-0.03205389331428651
27,29,12,-0.03160010649338221
27,29,13,-0.03114272596440616
27,29,14,-0.03132942589785342
27,29,15,-0.03082311391872578
27,29,16,-0.03078518635534931
27,29,17,-0.03060158133474384
27,29,18,-0.03058586143206362
27,29,19,-0.03015776592453411
27,29,20,-0.03120166486908741
27,29,21,-0.03173921353607536
27,29,22,-0.03152176123784577
27,29,23,-0.03222994332996162
27,29,24,-0.03290181004719232
28,30,1,0.004690997654897267
28,30,2,0.004690997655064156
28,30,3,0.004581902256994664
28,30,4,0.004472808612182674
28,30,5,0.004472808612860038
28,30,6,0.004618267939377634
28,30,7,0.004981916889267965
28,30,8,0.0054910293473522
28,30,9,0.006000143953103664
28,30,10,0.006254704357968431
28,30,11,0.006327438117699656
28,30,12,0.006363804852328268
28,30,13,0.006400168828857075
28,30,14,0.006472902027511318
28,30,15,0.006472905264377679
28,30,16,0.006509278048251238
28,30,17,0.006509287102611883
28,30,18,0.00647292934687827
28,30,19,0.006363831100361652
28,30,20,0.006145632149101734
28,30,21,0.005854700705887729
28,30,22,0.005600134755976876
28,30,23,0.005345573087394989
28,30,24,0.00509101669630104
28,31,1,0.000836372
28,31,2,0.000836372
28,31,3,0.0008000080000000001
28,31,4,0.000836372
28,31,5,0.0009091
28,31,6,0.00109092
28,31,7,0.001418196
28,31,8,0.001854564
28,31,9,0.002290932
28,31,10,0.0027273
28,31,11,0.003054576
28,31,12,0.003345488
28,31,13,0.003527308
28,31,14,0.0036364
28,31,15,0.0036364
28,31,16,0.003490944
28,31,17,0.003200032
28,31,18,0.002800028
28,31,19,0.002436388
28,31,20,0.002109112
28,31,21,0.0018182
28,31,22,0.001600016
28,31,23,0.001381832
28,31,24,0.001163648
29,32,1,-0.03011846558280756
29,32,2,-0.01719778243019936
29,32,3,-0.0370096754023016
29,32,4,-0.03721313096851441
29,32,5,-0.03733843917537661
29,32,6,-0.03734926938329941
29,32,7,-0.03716744924664472
29,32,8,-0.03683476461012198
29,32,9,-0.03646031990063187
29,32,10,-0.03639653869157395
29,32,11,-0.03570469613158655
29,32,12,-0.03525055726758784
29,32,13,-0.03479282756631763
29,32,14,-0.03497966955387476
29,32,15,-0.03440019238232849
29,32,16,-0.03421667299031449
29,32,17,-0.03388736926006204
